company_name,company_website,CompanyName,Address,City,State,Zip,County,Country,Website,PhoneNumber,FaxNumber,SICCode,IndustryName,6DigitSICCode,NAICSCode,NAICSDescription,LinkedInIndustryName,StockTicker,Revenue,NumberEmployees,YrFounded,AlexaRank,CompanyLinkedIn,CompanyFacebook,CompanyTwitter,CompanyInstagram,CompanyYelp,CompanyYouTube,CompanyCrunchbase,LeadSource
Lithko Contracting,lithko.com,Lithko Contracting LLC,2958 Crescentville Rd,West Chester,OH,45069,Butler,United States,lithko.com,(513) 564-2000,(513) 863-7913,15,"Construction   General Contractors & Operative Builders, Construction",179977,23,Construction,Construction,"",$200 Million - $1 Billion,"1,000 to 5,000",1992,,https://www.linkedin.com/company/lithko-contracting,https://www.facebook.com/Lithko,https://twitter.com/LithkoLLC,,,,,UpLead
CDO Partners,cdo-partners.com,CDO Partners Ltd,,Brighton,East Sussex,,,United Kingdom,cdo-partners.com,,,737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,,Under $1 Million,1 to 10,2016,,https://www.linkedin.com/company/cdo-partners,,,,,,,UpLead
Amazon,amazon.com,"Amazon.com, Inc.",410 Terry Ave N,Seattle,WA,98109-5210,King,United States,amazon.com,(206) 266-1000,(302) 636-5454,5961,"Catalog And Mail Order Houses, Internet",,45411,Electronic Shopping and Mail-Order Houses,Internet,AMZN,Over $1 Billion,"Over 10,000",1994,,https://www.linkedin.com/company/amazon,https://www.facebook.com/Amazon,https://twitter.com/amazon,https://instagram.com/amazon/,http://www.yelp.com/biz/amazon-books-seattle,https://www.youtube.com/user/amazon,https://www.crunchbase.com/organization/amazon,UpLead
Plus Accounting,plusaccounting.co.uk,"Plus Accounting, Chartered Accountants",Preston Park House South Road,Brighton,East Sussex,BN1 6SB,"",United Kingdom,plusaccounting.co.uk,441273701200,441273701300,8721,"Accounting, Auditing, And Bookkeeping, Accounting",,5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Accounting,"",$1 Million - $10 Million,10 to 50,1992,,https://www.linkedin.com/company/plus-accounting-chartered-accountants,,,,,,,UpLead
Wired Sussex,wiredsussex.com,Wired Sussex,,East Sussex,east sussex,"","","",wiredsussex.com,441273692888,441273691854,"",Non Profit Organization Management,,"",,Non Profit Organization Management,"","","",1996,421281,https://www.linkedin.com/company/wired-sussex,"","","","","","",UpLead
Squarespace,squarespace.com,"Squarespace, Inc.",459 Broadway 5th Fl,New York,NY,10013,New York,United States,squarespace.com,(646) 580-3456,"",7374,"Computer Programming, Data Processing, And Other Computerrelated, Internet",799201,54151,Computer Systems Design and Related Services,Internet,"",$50 Million - $100 Million,"",2003,604,https://www.linkedin.com/company/squarespace,,,https://instagram.com/squarespace/,http://www.yelp.com/biz/squarespace-new-york,https://youtube.com/squarespace,https://www.crunchbase.com/organization/squarespace,UpLead
Fishtown Analytics,fishtownanalytics.com,Fishtown Analytics,,Philadelphia,PA,,Philadelphia,United States,fishtownanalytics.com,,"",7372,"Prepackaged Software, Computer Software",,5112,Software Publishers,Computer Software,"",$1 Million - $10 Million,1 to 10,2016,,https://www.linkedin.com/company/fishtown-analytics,,,,,,,UpLead
UK Oracle User Group,ukoug.org,UK Oracle User Group,591 593 Kingston Rd,Wimbledon,London,SW20 8SA,"",United Kingdom,ukoug.org,442085459670,448709000335,737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$1 Million - $10 Million,10 to 50,1983,,https://www.linkedin.com/company/ukoug,,https://twitter.com/UKOUG,,,,,UpLead
East Sussex County Council,eastsussex.gov.uk,East Sussex County Council,County Hall St Anne's Crescent,Lewes,,BN7 1UE,"",United Kingdom,eastsussex.gov.uk,4.41E+11,4.41E+11,9121,Government Administration,,92,Public Administration,Government Administration,"",$100 Million - $200 Million,"1,000 to 5,000",1889,,https://www.linkedin.com/company/east-sussex-county-council,https://www.facebook.com/eastsussexlibraries,,,,,,UpLead
Qubit,qubit.com,Qubit.,,"",,,"",United States,qubit.com,44(203) 551-3990,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Internet",,54151,Computer Systems Design and Related Services,Internet,"",$50 Million - $100 Million,200 to 500,2010,167820,https://www.linkedin.com/company/768977,https://www.facebook.com/qubit,https://twitter.com/qubitgroup,,,,http://www.crunchbase.com/organization/qubit,UpLead
Microsoft,microsoft.com,Microsoft Corporation,1 Microsoft Way,Redmond,WA,98052-6399,King,United States,microsoft.com,(425) 882-8080,(425) 706-7329,7372,"Prepackaged Software, Computer Software",,511210,Software Publishers,Computer Software,MSFT,Over $1 Billion,"Over 10,000",1974,34,https://www.linkedin.com/company/1035,https://www.facebook.com/Microsoft,https://twitter.com/Microsoft,https://www.instagram.com/microsoft/,http://www.yelp.com/biz/microsoft-windows-10-redmond,https://youtube.com/xbox,https://www.crunchbase.com/organization/microsoft,UpLead
Brighton & Hove City Council,brighton-hove.gov.uk,Brighton & Hove City Council,Kings House Grand Avenue,Hove,East Sussex,BN3 2LS,"",United Kingdom,brighton-hove.gov.uk,+44 1273 290000,"",86,"Membership Organizations, Government Administration",,92,Public Administration,Government Administration,"",Over $1 Billion,"5,000 to 10,000",1997,85003,https://www.linkedin.com/company/brighton-&-hove-city-council,https://www.facebook.com/BrightonandHoveCityCouncil,https://twitter.com/BrightonHoveCC,,,https://youtube.com/user/BrightonandHoveGovUk,,UpLead
Spaces,spacesworks.com,Spaces. offices | co-working | meeting rooms.,Amsterdam Center Herengracht 124 128,Amsterdam,Noord-Holland,1015 BT,"",Netherlands,spacesworks.com,31202627600,"",65,"Real Estate, Commercial Real Estate",,53,Real Estate and Rental and Leasing,Commercial Real Estate,"",$10 Million - $50 Million,50 to 200,2008,181890,https://www.linkedin.com/company/spaces-amsterdam,,https://twitter.com/spacesworks,,,,,UpLead
